permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
18411,,SOUTHERN CO,1960-07-01,48.125,50.125,46.25,47.25,0.9742268041237113
18542,,CATERPILLAR TRACTOR INC,1960-07-01,28.25,29.375,25.0,25.5,0.8986784140969163
18729,,COLGATE PALMOLIVE CO,1960-07-01,38.75,39.0,34.0,36.25,0.9294871794871795
19350,,DEERE & CO DEL,1960-07-01,44.0,46.25,43.25,45.375,1.03125
19393,,BRISTOL MYERS CO,1960-07-01,59.0,59.875,51.0,55.25,0.9364406779661016
19561,,BOEING AIRPLANE CO,1960-07-01,26.125,30.625,25.875,29.125,1.1310679611650485
20482,,ABBOTT LABS,1960-07-01,63.25,65.125,60.0,65.125,1.0296442687747036
21573,,INTERNATIONAL PAPER CO,1960-07-01,99.875,100.75,95.25,97.75,0.9775
21776,,PHILADELPHIA ELECTRIC CO,1960-07-01,49.875,52.0,49.5,50.25,1.005
21936,,PFIZER CHAS & CO INC,1960-07-01,33.875,34.0,30.125,32.0,0.9552238805970149
22293,,CORNING GLASS WORKS,1960-07-01,173.5,174.0,153.0,156.0,0.8939828080229226
22509,,PITTSBURGH PLATE GLASS CO,1960-07-01,62.75,65.5,60.5,63.625,1.018
22592,,MINNESOTA MINING & MFG CO,1960-07-01,78.125,78.25,68.0,74.0,0.9456869009584664
22752,,MERCK & CO INC,1960-07-01,85.0,90.75,80.75,85.5,1.008849557522124
22779,,MOTOROLA INC,1960-07-01,171.0,172.5,75.125,79.0,0.4573082489146165
23026,,OHIO EDISON CO,1960-07-01,34.25,35.0,32.5,33.75,0.9926470588235294
23712,,PUBLIC SERVICE ELECTRIC & GAS CO,1960-07-01,40.0,40.5,38.5,40.0,1.0
23819,,HALLIBURTON OIL WELL CEMENTING,1960-07-01,38.75,39.875,37.125,37.75,0.9741935483870968
23931,,NORTHERN STATES POWER CO MN,1960-07-01,27.625,29.0,27.25,27.375,0.9954545454545455
24010,,MIDDLE SOUTH UTILITIES INC,1960-07-01,29.75,32.875,29.25,30.0,1.0084033613445378
24109,,AMERICAN ELECTRIC POWER CO INC,1960-07-01,57.5,59.5,52.5,55.25,0.9650655021834061
24643,,ALUMINUM COMPANY AMER,1960-07-01,83.5,86.5,73.125,74.25,0.8865671641791045
25320,,CAMPBELL SOUP CO,1960-07-01,64.0,66.5,56.5,57.125,0.8943248532289628
25785,,FORD MOTOR CO,1960-07-01,66.0,69.75,60.625,65.125,0.9904942965779467
10145,,ALLIED CHEMICAL CORP,1960-08-01,54.0,57.5,50.625,56.0,1.037037037037037
11308,,COCA COLA CO,1960-08-01,63.125,64.625,61.5,64.0,1.0078740157480315
11404,,CONSOLIDATED EDISON CO NY INC,1960-08-01,64.5,64.5,62.25,64.125,0.9922630560928434
11674,,DETROIT EDISON CO,1960-08-01,44.125,47.125,44.125,46.375,1.0450704225352112
11762,,EATON MFG CO,1960-08-01,32.375,36.5,32.0,33.375,1.0553359683794465
11850,,STANDARD OIL CO N J,1960-08-01,41.125,42.375,40.5,40.75,1.0
12052,,GENERAL DYNAMICS CORP,1960-08-01,43.375,48.5,43.0,43.25,1.005813953488372
12060,,GENERAL ELECTRIC CO,1960-08-01,85.0,85.25,79.25,82.25,0.9719350073855244
12490,,INTERNATIONAL BUSINESS MACHS COR,1960-08-01,526.5,550.0,505.0,536.0,1.0219256434699715
13856,,PEPSI COLA CO,1960-08-01,45.0,46.25,43.0,44.0,0.9832402234636871
13901,,PHILIP MORRIS INC,1960-08-01,68.25,72.875,68.25,70.75,1.0253623188405796
13928,,PHILLIPS PETROLEUM CO,1960-08-01,44.375,48.5,36.25,47.25,1.064788732394366
14541,,STANDARD OIL CO CALIFORNIA,1960-08-01,42.375,45.0,41.5,44.125,1.0474777448071217
15579,,TEXAS INSTRUMENTS INC,1960-08-01,226.25,231.75,210.0,214.125,0.9495565410199557
15720,,SOUTHERN CALIFORNIA EDISON CO,1960-08-01,62.375,65.375,61.75,65.375,1.0480961923847696
16600,,HERSHEY CHOCOLATE CORP,1960-08-01,84.0,97.0,83.25,97.0,1.1547619047619049
16678,,KROGER COMPANY,1960-08-01,31.5,32.125,29.5,30.5,0.9606299212598425
17005,,MELVILLE SHOE CORP,1960-08-01,26.875,28.0,26.625,27.75,1.0373831775700935
17478,,MCGRAW HILL PUBLISHING INC,1960-08-01,88.0,91.0,80.0,88.0,0.9929478138222849
17750,,KIMBERLY CLARK CORP,1960-08-01,73.375,82.0,71.5,80.5,1.0915254237288137
17830,,UNITED AIRCRAFT CORP,1960-08-01,40.25,46.5,40.0,43.5,1.0807453416149069
18163,,PROCTER & GAMBLE CO,1960-08-01,124.0,136.0,121.5,126.0,1.0677966101694916
18411,,SOUTHERN CO,1960-08-01,47.25,50.0,46.75,50.0,1.0582010582010581
18542,,CATERPILLAR TRACTOR INC,1960-08-01,25.25,26.75,24.625,25.625,1.0049019607843137
18729,,COLGATE PALMOLIVE CO,1960-08-01,35.5,35.5,31.0,33.25,0.9172413793103448
19350,,DEERE & CO DEL,1960-08-01,45.25,48.375,43.375,45.125,0.9944903581267218
19393,,BRISTOL MYERS CO,1960-08-01,55.0,64.5,52.625,61.25,1.1085972850678734
19561,,BOEING AIRPLANE CO,1960-08-01,29.25,35.75,28.75,33.125,1.1373390557939913
20482,,ABBOTT LABS,1960-08-01,65.0,66.5,62.5,63.625,0.9769673704414588
21573,,INTERNATIONAL PAPER CO,1960-08-01,98.5,99.875,94.375,95.0,0.9718670076726342
21776,,PHILADELPHIA ELECTRIC CO,1960-08-01,50.25,53.0,50.0,51.875,1.0323383084577114
21936,,PFIZER CHAS & CO INC,1960-08-01,32.125,34.25,31.125,32.375,1.01171875
22293,,CORNING GLASS WORKS,1960-08-01,156.75,172.25,155.0,168.0,1.0769230769230769
22509,,PITTSBURGH PLATE GLASS CO,1960-08-01,63.25,63.75,60.25,60.25,0.9469548133595285
22592,,MINNESOTA MINING & MFG CO,1960-08-01,74.5,78.25,70.25,72.5,0.9797297297297297
22752,,MERCK & CO INC,1960-08-01,86.5,92.0,82.0,88.0,1.0292397660818713
22779,,MOTOROLA INC,1960-08-01,79.75,86.5,75.25,84.0,1.0632911392405062
23026,,OHIO EDISON CO,1960-08-01,33.875,37.5,33.25,36.0,1.0666666666666667
23712,,PUBLIC SERVICE ELECTRIC & GAS CO,1960-08-01,39.75,41.625,39.5,40.25,1.00625
23819,,HALLIBURTON COMPANY,1960-08-01,37.75,40.875,37.125,39.125,1.0364238410596025
23931,,NORTHERN STATES POWER CO MN,1960-08-01,27.25,29.25,27.125,28.375,1.0365296803652968
24010,,MIDDLE SOUTH UTILITIES INC,1960-08-01,30.25,30.625,29.875,30.625,1.0208333333333333
24109,,AMERICAN ELECTRIC POWER CO INC,1960-08-01,54.875,58.875,52.75,56.375,1.0203619909502262
24643,,ALUMINUM COMPANY AMER,1960-08-01,74.75,76.0,71.375,72.0,0.9696969696969697
25320,,CAMPBELL SOUP CO,1960-08-01,57.125,67.0,56.0,64.875,1.135667396061269
25785,,FORD MOTOR CO,1960-08-01,65.0,70.25,61.125,66.0,1.0134357005758157
10145,,ALLIED CHEMICAL CORP,1960-09-01,56.0,56.625,46.0,47.875,0.8549107142857143
11308,,COCA COLA CO,1960-09-01,64.25,66.0,61.25,63.875,0.998046875
11404,,CONSOLIDATED EDISON CO NY INC,1960-09-01,64.125,64.375,61.5,62.125,0.9688109161793372
11674,,DETROIT EDISON CO,1960-09-01,46.625,47.375,44.125,44.125,0.9514824797843666
11762,,EATON MFG CO,1960-09-01,33.5,33.625,28.5,30.5,0.9138576779026217
11850,,STANDARD OIL CO N J,1960-09-01,40.625,41.125,39.75,40.75,1.0
12052,,GENERAL DYNAMICS CORP,1960-09-01,43.25,43.5,33.5,38.125,0.8815028901734104
12060,,GENERAL ELECTRIC CO,1960-09-01,82.125,83.125,70.25,73.375,0.89209726443769
12490,,INTERNATIONAL BUSINESS MACHS COR,1960-09-01,540.0,548.0,501.0,516.0,0.9626865671641791
13856,,PEPSI COLA CO,1960-09-01,44.0,44.25,38.25,39.25,0.8920454545454546
13901,,PHILIP MORRIS INC,1960-09-01,71.125,75.0,68.25,70.625,0.9982332155477032
13928,,PHILLIPS PETROLEUM CO,1960-09-01,47.375,47.5,43.5,46.875,0.9920634920634921
14541,,STANDARD OIL CO CALIFORNIA,1960-09-01,44.5,44.875,41.0,42.5,0.9631728045325779
15579,,TEXAS INSTRUMENTS INC,1960-09-01,213.75,215.0,171.25,184.5,0.861646234676007
15720,,SOUTHERN CALIFORNIA EDISON CO,1960-09-01,65.5,67.0,57.5,58.625,0.8967495219885278
16600,,HERSHEY CHOCOLATE CORP,1960-09-01,97.0,104.5,93.0,94.75,0.9768041237113402
16678,,KROGER COMPANY,1960-09-01,31.0,31.5,26.75,28.5,0.9344262295081968
17005,,MELVILLE SHOE CORP,1960-09-01,27.75,30.125,27.5,28.375,1.0225225225225225
17478,,MCGRAW HILL PUBLISHING INC,1960-09-01,87.0,89.5,80.0,83.75,0.9517045454545454
17750,,KIMBERLY CLARK CORP,1960-09-01,81.0,81.0,77.625,78.625,0.9767080745341615
17830,,UNITED AIRCRAFT CORP,1960-09-01,43.5,44.375,39.5,40.5,0.9310344827586207
18163,,PROCTER & GAMBLE CO,1960-09-01,126.5,128.0,108.0,113.5,0.9007936507936508
18411,,SOUTHERN CO,1960-09-01,49.625,50.0,41.75,43.875,0.8775
18542,,CATERPILLAR TRACTOR INC,1960-09-01,25.5,25.875,24.0,24.875,0.9707317073170731
18729,,COLGATE PALMOLIVE CO,1960-09-01,33.625,34.75,28.75,30.0,0.9022556390977443
19350,,DEERE & CO DEL,1960-09-01,44.875,46.5,43.0,44.25,0.9806094182825484
19393,,BRISTOL MYERS CO,1960-09-01,61.5,65.625,53.125,58.5,0.9551020408163265
19561,,BOEING AIRPLANE CO,1960-09-01,33.25,33.5,28.125,30.5,0.9207547169811321
20482,,ABBOTT LABS,1960-09-01,62.625,64.25,55.5,57.25,0.899803536345776
21573,,INTERNATIONAL PAPER CO,1960-09-01,95.75,96.875,85.125,87.75,0.9236842105263158
21776,,PHILADELPHIA ELECTRIC CO,1960-09-01,51.875,52.75,50.75,51.5,0.9927710843373494
21936,,PFIZER CHAS & CO INC,1960-09-01,33.0,33.125,27.25,28.75,0.888030888030888
22293,,CORNING GLASS WORKS,1960-09-01,169.0,170.0,158.0,160.75,0.9568452380952381
22509,,PITTSBURGH PLATE GLASS CO,1960-09-01,60.125,62.375,55.625,58.0,0.9626556016597511
22592,,MINNESOTA MINING & MFG CO,1960-09-01,72.5,73.25,63.0,65.5,0.903448275862069
22752,,MERCK & CO INC,1960-09-01,87.75,88.0,74.125,81.0,0.9204545454545454
22779,,MOTOROLA INC,1960-09-01,84.5,85.5,64.125,72.5,0.8630952380952381
23026,,OHIO EDISON CO,1960-09-01,35.5,38.625,33.125,34.5,0.9583333333333334
23712,,PUBLIC SERVICE ELECTRIC & GAS CO,1960-09-01,40.5,41.25,39.25,39.75,0.9875776397515528
23819,,HALLIBURTON COMPANY,1960-09-01,39.375,39.375,35.625,36.75,0.939297124600639
23931,,NORTHERN STATES POWER CO MN,1960-09-01,28.25,28.25,25.875,26.0,0.9162995594713657
24010,,MIDDLE SOUTH UTILITIES INC,1960-09-01,30.625,33.0,29.625,29.625,0.9673469387755103
24109,,AMERICAN ELECTRIC POWER CO INC,1960-09-01,56.625,57.75,52.625,53.25,0.9445676274944568
24643,,ALUMINUM COMPANY AMER,1960-09-01,71.25,71.25,63.125,70.125,0.9739583333333334
25320,,CAMPBELL SOUP CO,1960-09-01,64.75,66.75,61.5,66.0,1.0173410404624277
